annee,insee,nom_commune,omr_en_tonnes,omr_en_kg_hab_an,cs_en_tonnes,cs_en_kg_hab_an,verre_seul_en_tonnes,verre_seul_en_kg_hab_an,latitude,longitude,kmeans_cluster,gmm_cluster,hierarchical_cluster,PCA_1,PCA_2,tSNE_1,tSNE_2
2021,13206.0,Marseille 6e  Arrondissement,18680.0,442.2243791576904,1969.0,46.61347979451244,994.0,23.531639875949907,43.28693114683474,5.38061453810528,1,1,2,2.5606681400663067,-0.0937011196366638,-12.858908,-9.788596
2021,13216.0,Marseille 16e  Arrondissement,7786.0,483.4523439925489,436.0,27.07233778329711,182.0,11.300838248990996,43.36536227862692,5.313227133461914,0,1,0,-0.32320562422721394,0.35030813156513035,-2.8281214,-4.223718
2021,13001.0,Aix-en-Provence,48152.0,336.4990181485286,7683.0,53.69085305771609,3042.0,21.25830730203988,43.53611275115329,5.398630508296743,2,2,1,11.116418985766277,-1.7390075967620162,-14.914727,-11.935687
2021,13002.0,Allauch,7470.0,358.1016299137105,961.0,46.06903163950144,333.0,15.963566634707574,43.353259099664186,5.51136963696154,0,1,2,0.21902525830738356,-0.04449598193671603,-7.7342587,-4.885236
2021,13014.0,Berre-l'Étang,5318.0,393.3431952662722,542.0,40.0887573964497,168.0,12.42603550295858,43.503570781688005,5.1603609943763535,0,1,0,-0.4306058921123913,0.0929765475645353,-2.19723,-3.0566232
2021,13019.0,Cabriès,3340.0,339.6379906447021,721.0,73.31706324994916,273.0,27.760829774252592,43.449757880832834,5.349598815702698,0,0,0,-0.2788143649685351,-0.2747289804101873,-5.9653683,-1.0669643
2021,13119.0,Carnoux-en-Provence,2383.0,363.0408287629494,468.0,71.2979890310786,190.0,28.94576477757465,43.25862503443325,5.56604806829008,0,0,0,-0.6243414999041239,-0.17751146164476156,-0.68677664,1.1285571
2021,13022.0,Cassis,3970.0,564.96371139889,573.0,81.5426213177743,267.0,37.99629998576918,43.223155657425984,5.550670252479551,0,0,0,-0.34200072953306965,-0.1520774026926365,-4.404933,-1.48916
2021,13024.0,Charleval,944.0,351.7138599105812,223.0,83.0849478390462,75.0,27.943368107302536,43.72113620939456,5.245430341402148,0,0,0,-1.0438543756643708,-0.09412713854320212,9.479993,7.4230285
2021,13118.0,Coudoux,1017.0,274.12398921832886,245.0,66.0377358490566,100.0,26.954177897574127,43.560332976086926,5.2545400962108015,0,0,0,-0.9870702817518068,-0.12269418796029842,8.064292,6.761671
2021,13032.0,Éguilles,2208.0,277.49151690335555,544.0,68.36747517908759,240.0,30.162121402538645,43.57098712845103,5.328914043925491,0,0,0,-0.5105145845859498,-0.2771021002019706,-3.4275804,1.2569529
2021,13033.0,Ensuès-la-Redonne,2372.0,429.1659127917496,342.0,61.87805319341415,165.0,29.853446716120864,43.35380540075156,5.199323728763015,0,0,0,-0.7425381387110334,-0.10301235620817374,2.177187,2.6881077
2021,13040.0,Fuveau,3420.0,336.71359653440976,637.0,62.71536871123364,239.0,23.53057005021168,43.45970811844215,5.553451515231331,0,0,0,-0.3788986089958154,-0.19819920643129335,-4.6760798,-0.87874556
2021,13047.0,Istres,16391.0,377.5771117919421,1485.0,34.20791965170118,550.0,12.669599871000436,43.55050861616712,4.9505876139362925,1,1,2,1.432400228105298,0.35652151698723733,-10.885233,-8.489669
2021,13009.0,La Barben,278.0,332.53588516746413,84.0,100.47846889952152,27.0,32.29665071770335,43.61890523083913,5.213170404526383,0,0,0,-1.2460375254833775,-0.05128467535962644,12.207629,10.648889
2021,13051.0,Lançon-Provence,2976.0,332.6254610483961,649.0,72.53828098804068,216.0,24.14217055996423,43.57597978505013,5.159319054975725,0,0,0,-0.4341776476454248,-0.21970502217307852,-4.4186597,-0.35617438
2021,13088.0,Le Rove,1976.0,344.01114206128136,437.0,76.07938718662953,211.0,36.73398328690808,43.36510600906762,5.253039416795862,0,0,0,-0.6365908989637912,-0.2263553243595082,-0.87201524,2.0089269
2021,13054.0,Marignane,13412.0,408.9897234165828,1228.0,37.44701613149148,330.0,10.063123227518068,43.41759183775723,5.212045680978387,1,1,2,0.7486928290546363,0.41316879870574813,-9.079415,-7.131166
2021,13060.0,Meyreuil,1666.0,287.43961352657004,428.0,73.8440303657695,150.0,25.87991718426501,43.49086013086716,5.500424948502415,0,0,0,-0.7552569220442299,-0.18625783507156177,1.9091452,3.7069376
2021,13072.0,Peynier,1164.0,331.3407344150299,218.0,62.05522345573584,118.0,33.589524622829494,43.43975276803226,5.625453262988365,0,0,0,-0.9672297960334529,-0.11787836390535546,7.610337,5.872563
2021,13078.0,Port-Saint-Louis-du-Rhône,3775.0,448.1776089279354,269.0,31.936364715659504,115.0,13.653092722307964,43.41641426437968,4.805552871526044,0,1,0,-0.7786798019274285,0.11062057133647694,4.9448957,2.0792158
2021,13085.0,Roquefort-la-Bédoule,1689.0,286.4654002713704,342.0,58.00542740841248,134.0,22.727272727272727,43.25112966957487,5.629566232455745,0,0,0,-0.8324107849842048,-0.1336928293324391,3.9282992,4.396812
2021,13091.0,Saint-Cannat,1656.0,291.6519901373723,473.0,83.30398027474463,212.0,37.33709052483269,43.613572994735065,5.306927909289524,0,0,0,-0.6322221351134836,-0.2713381363786569,-1.3704087,2.210074
2021,13103.0,Salon-de-Provence,16597.0,365.5726872246696,2399.0,52.84140969162996,751.0,16.54185022026432,43.64632418629917,5.067828847150467,1,1,2,2.3278297622716724,-0.19322032999532937,-13.339296,-9.519457
